customer_id,application_date,age,gender,marital_status,dependents,monthly_income,employment_type,employment_months,requested_amount,loan_term_months,interest_rate,installment,debt_to_income,num_open_loans,num_credit_cards,has_mortgage,channel,region,default_90d
C012635,2023-01-19,46,F,married,5,1375.66,permanent,326,38560.52,36,12.0,1456.58,1.5,3,2,0,web,south,1
C010634,2022-02-13,73,F,divorced,4,1465.04,contract,52,13261.39,36,19.31,581.76,1.075,8,6,0,branch,east,1
C012247,2022-07-13,33,M,married,4,6468.34,permanent,22,19796.4,12,25.53,2070.88,1.069,9,4,0,branch,north,1
C010350,2022-07-10,35,F,married,0,3443.02,permanent,118,27005.41,36,13.17,1046.52,0.755,5,5,0,web,east,1
C003489,2023-04-30,73,F,single,5,7062.64,permanent,220,50651.06,12,19.83,5057.95,1.5,1,2,0,web,south,1
C002156,2023-06-21,33,M,married,0,8160.39,self_employed,89,11774.28,48,26.59,506.17,0.213,0,2,0,branch,east,1
C002908,2024-11-04,74,M,divorced,5,3043.17,contract,58,5000.0,48,16.09,171.19,0.464,3,8,0,web,west,0
C001011,2022-10-22,19,F,divorced,5,4446.38,self_employed,237,30465.58,48,19.79,1137.02,0.58,0,3,0,branch,capital,0
C013400,2023-09-02,52,M,single,5,3747.36,unemployed,1,36941.33,36,16.43,1531.97,1.311,10,2,0,branch,east,0
C014964,2024-09-30,59,M,divorced,1,5023.15,permanent,91,29536.81,60,14.22,842.18,0.528,10,1,0,branch,north,1
C014501,2023-11-06,53,M,married,4,4252.12,permanent,116,36544.45,36,14.21,1447.9,1.001,7,3,0,branch,capital,1
C003994,2022-11-09,22,F,married,1,6252.26,permanent,117,28815.73,48,15.77,979.06,0.432,8,8,0,partner,capital,0
C000784,2022-05-14,70,M,married,2,1655.31,permanent,161,32528.9,12,12.37,3045.96,1.5,5,7,1,call_center,north,1
C012181,2024-01-19,64,F,single,1,2307.3,permanent,164,25597.14,48,17.04,896.7,1.466,3,0,1,web,capital,1
C005944,2023-12-14,51,F,divorced,3,5978.4,self_employed,15,23239.06,12,15.68,2240.28,1.044,7,1,0,partner,capital,1
C009756,2024-01-16,68,F,single,3,1803.73,permanent,16,15425.06,24,21.97,925.08,1.376,9,2,1,partner,capital,0
C000866,2024-02-04,22,F,married,0,5009.27,unemployed,3,29099.22,60,20.32,977.71,0.382,9,3,0,web,east,1
C012355,2023-10-10,53,M,divorced,2,4560.35,permanent,118,18167.35,48,24.66,751.81,0.541,2,8,1,partner,capital,0
C013207,2023-02-20,52,M,married,1,1138.29,permanent,104,27517.78,36,18.86,1196.94,1.5,5,5,0,branch,capital,1
C001502,2022-10-13,40,M,married,5,11818.26,permanent,296,20799.48,24,21.72,1243.12,0.304,1,5,1,branch,north,0
C008480,2023-12-19,59,F,single,4,1150.57,permanent,3,33108.78,48,13.58,1064.47,1.5,5,3,1,web,south,0
C003234,2022-01-05,27,F,single,2,3707.87,permanent,33,28241.01,24,10.46,1422.92,1.1,7,6,1,web,capital,1
C012600,2024-11-22,53,M,married,1,2320.71,contract,56,44850.57,60,12.43,1212.03,1.5,9,4,1,branch,north,1
C013944,2023-01-31,19,M,married,3,2210.88,permanent,171,26085.13,48,19.75,972.69,1.142,0,8,0,partner,capital,1
C011866,2022-12-05,38,F,divorced,0,1415.03,contract,9,5000.0,12,20.44,501.82,1.13,10,0,0,web,capital,1
C014004,2024-09-14,71,M,single,0,5880.92,unemployed,2,12787.33,36,9.51,456.6,0.117,2,5,0,branch,north,0
C011934,2024-04-26,30,F,divorced,3,7051.47,contract,56,39282.6,48,16.21,1349.18,0.586,8,1,0,call_center,east,1
C010863,2022-01-13,41,F,single,4,7572.13,self_employed,143,16469.85,48,16.93,575.45,0.255,5,8,1,call_center,capital,1
C008546,2024-06-02,37,F,single,2,3579.21,contract,5,42351.14,36,19.52,1865.28,1.5,3,5,0,partner,capital,1
C004930,2022-08-31,18,F,married,1,5141.04,permanent,218,19307.88,12,19.19,1917.75,1.257,5,0,0,web,east,1
C000346,2022-10-08,72,M,married,2,2075.53,contract,6,45185.48,60,20.62,1529.59,1.5,8,0,0,web,north,1
C000695,2022-04-09,71,M,single,0,5001.97,permanent,293,36494.55,24,13.1,1918.93,1.279,0,2,0,call_center,capital,1
C002393,2023-11-07,30,M,married,0,3010.61,self_employed,248,20277.36,36,16.39,840.23,0.719,10,1,1,branch,capital,0
C006115,2022-08-05,50,F,divorced,3,6114.34,contract,52,27645.26,36,23.37,1306.21,0.672,1,2,1,partner,capital,1
C011819,2024-04-19,40,F,single,3,2571.11,permanent,119,27765.67,48,19.7,1034.2,0.776,8,8,0,branch,north,1
C000121,2023-04-27,69,M,married,4,2533.28,permanent,1,19173.45,36,24.01,916.21,1.065,5,2,1,branch,capital,1
C002525,2022-03-10,65,F,married,1,2504.2,permanent,126,5000.0,60,13.63,140.14,0.025,6,5,0,partner,capital,0
C014224,2023-10-02,36,F,divorced,5,4647.39,permanent,341,45356.81,36,14.86,1821.59,1.156,3,6,0,web,north,1
