customer_id,application_date,age,gender,marital_status,dependents,monthly_income,employment_type,employment_months,requested_amount,loan_term_months,interest_rate,installment,debt_to_income,num_open_loans,num_credit_cards,has_mortgage,channel,region,default_90d
C000001,2024-08-22,73,F,single,3,5845.410508846731,self_employed,319,30421.25,60,11.63,801.85,0.387,6,6,0,web,capital,1
C000002,2024-09-14,35,M,single,3,1261.7966630141025,permanent,202,18502.02,36,13.96,729.2,1.404,2,8,0,web,north,1
C000003,2022-12-21,40,M,divorced,3,3046.2812909093886,contract,34,13795.64,36,23.48,653.2,0.167,3,7,0,partner,capital,1
C000004,2023-03-16,57,F,married,4,2187.415419853371,permanent,262,43593.08,12,17.63,4273.16,1.5,10,8,0,call_center,north,1
C000005,2022-07-08,59,M,single,5,6954.236503808646,contract,29,25675.99,12,21.22,2593.74,0.827,1,2,1,partner,east,0
C000006,2024-08-25,22,M,single,3,1783.918342222816,permanent,311,40415.59,36,25.42,1978.66,1.5,0,2,0,branch,south,1
C000007,2023-04-15,51,F,single,5,4954.824518764403,permanent,65,18906.63,24,15.94,1038.9,0.434,6,1,0,branch,north,1
C000008,2023-05-01,45,F,married,3,2535.5781217859353,contract,52,28656.45,36,21.28,1304.19,1.303,2,2,0,call_center,south,1
C000009,2022-11-08,66,F,single,3,2545.5488347896644,permanent,337,10328.08,24,13.57,547.11,0.438,3,7,0,call_center,capital,0
C000010,2023-12-28,27,F,married,0,2756.8033047250883,permanent,204,30683.05,48,8.62,859.67,0.659,4,8,0,call_center,north,1
C000011,2024-05-28,74,F,single,0,3784.7552543849183,permanent,135,14041.7,48,14.42,461.3,0.317,8,2,0,partner,capital,1
C000012,2023-07-03,60,M,married,2,2279.273938682855,contract,31,48208.82,12,11.84,4493.21,1.5,2,4,0,call_center,east,1
C000013,2022-06-19,68,M,divorced,0,3197.688424978143,contract,44,26329.25,36,23.45,1245.95,0.981,0,5,0,partner,south,1
C000014,2024-08-06,30,M,single,2,3861.500125231473,self_employed,42,48099.99,24,15.3,2617.62,1.5,9,0,1,web,north,1
C000015,2024-03-09,41,F,single,5,3290.8805515094373,unemployed,3,34617.18,60,22.3,1220.33,0.993,4,5,1,partner,north,1
C000016,2024-02-10,57,F,single,5,2933.6961754269787,unemployed,3,23650.3,60,17.0,729.2,0.689,5,6,1,partner,south,1
C000017,2022-07-11,28,F,married,4,5850.005061730255,permanent,344,38792.6,24,14.17,2074.38,0.837,2,6,1,web,capital,1
C000018,2024-09-16,27,F,single,3,2469.317966580491,permanent,17,12540.62,48,11.94,386.02,0.256,0,3,0,web,capital,0
C000019,2023-12-24,57,F,married,2,2857.1206193419825,permanent,259,33274.85,12,10.67,3068.68,1.5,1,8,0,partner,capital,1
C000020,2022-10-25,57,F,divorced,0,2039.8987110368812,permanent,326,47819.28,60,17.01,1474.77,1.5,9,4,0,call_center,capital,1
C000021,2022-10-23,51,M,single,2,1232.3640365334227,permanent,271,22282.69,36,13.37,867.16,1.5,7,0,0,branch,north,1
C000022,2024-03-07,32,M,married,5,2081.40161966835,permanent,210,19046.86,60,22.49,674.4,0.836,4,5,0,partner,north,1
C000023,2022-06-24,59,F,single,0,1540.478811324018,unemployed,1,53327.27,60,21.44,1841.72,1.5,4,7,0,partner,capital,0
C000024,2024-04-19,74,M,divorced,5,2929.453971217935,permanent,0,19220.88,48,23.75,780.79,0.4,1,3,1,web,north,0
C000025,2023-06-23,74,F,married,1,4562.603464536503,contract,56,21025.72,48,24.99,875.88,0.523,2,4,0,partner,capital,1
C000026,2022-09-02,49,F,single,5,1629.4723295173342,permanent,244,35245.3,24,20.76,2078.36,1.5,7,4,1,web,capital,1
C000027,2022-04-17,23,F,single,5,3519.0028327626796,self_employed,191,29416.11,48,19.73,1096.52,0.541,6,2,0,branch,west,1
C000028,2024-08-30,69,M,divorced,3,2252.9084022117804,contract,10,8208.89,36,20.55,368.62,0.081,6,6,0,partner,capital,0
C000029,2023-08-08,56,F,single,4,4970.695593894679,permanent,234,34473.43,36,20.24,1539.07,0.761,5,1,0,web,south,1
C000030,2024-01-18,64,F,married,5,953.3176296527839,permanent,104,33651.88,36,13.46,1312.24,1.5,6,7,0,branch,capital,1
C000031,2023-09-03,47,M,single,2,5061.64490291638,permanent,231,33561.54,60,26.89,1311.47,0.568,6,4,0,web,south,1
C000032,2023-03-24,36,F,married,0,2538.1527666356283,permanent,309,33359.28,12,25.41,3486.31,1.5,10,2,0,branch,north,1
C000033,2022-09-24,72,M,single,3,3838.951482689117,permanent,321,29579.22,36,16.7,1233.4,0.69,4,0,0,web,east,1
C000034,2023-11-14,55,M,divorced,3,800.0,contract,44,27385.97,60,22.32,965.87,1.5,2,8,0,partner,capital,1
C000035,2024-09-23,31,F,single,2,1972.7076457713574,permanent,248,27667.71,48,18.99,1014.34,1.426,9,6,0,web,capital,1
C000036,2022-12-18,28,M,married,3,2527.5355700861423,self_employed,54,41499.49,36,19.71,1834.5,1.348,10,3,0,web,east,1
C000037,2023-04-13,23,M,divorced,5,3171.0151823076567,self_employed,170,46595.56,60,12.03,1243.73,0.998,5,1,0,partner,east,1
C000038,2023-09-08,31,M,single,4,2803.2042043670554,contract,44,26813.44,60,28.11,1074.93,0.816,10,2,0,web,west,1
C000039,2022-07-21,23,M,divorced,1,5563.8071871776465,permanent,348,34032.98,36,14.54,1357.75,0.534,8,5,0,branch,south,0
C000040,2024-04-22,74,F,married,2,1797.241588903444,permanent,294,23333.54,48,10.87,697.43,1.049,9,7,0,partner,west,1
C000041,2022-07-12,49,F,married,3,1750.772305799289,contract,3,35076.04,48,23.84,1427.48,1.137,3,5,0,web,north,1
C000042,2022-12-23,49,M,married,4,2302.047936061368,permanent,169,53470.55,48,17.68,1901.92,1.5,4,3,0,web,west,1
C000043,2023-06-25,25,M,married,3,800.0,self_employed,115,50706.01,48,17.3,1787.4,1.5,9,4,0,web,north,1
C000044,2022-04-23,44,F,married,2,987.5931096951122,permanent,246,29065.73,48,15.22,974.14,1.5,2,2,0,web,capital,1
C000045,2022-01-01,69,M,single,5,888.3976424851242,permanent,284,44447.52,36,17.29,1875.13,1.5,0,3,0,branch,west,1
C000046,2022-03-16,51,F,single,3,5500.041469492249,permanent,252,40217.37,12,17.59,3940.94,1.5,1,2,0,web,west,1
C000047,2024-07-24,74,F,single,2,1684.1921823219834,permanent,130,36885.0,60,11.21,959.41,1.295,6,2,0,web,north,1
C000048,2024-06-15,40,F,single,0,3697.814676385501,permanent,24,23076.59,24,20.88,1362.99,0.806,10,8,0,branch,capital,1
C000049,2022-03-02,25,F,married,2,1741.0936532870905,contract,35,30327.39,12,22.13,3086.45,1.5,8,3,0,web,south,1
C000050,2024-06-26,31,M,single,1,931.3253115743215,self_employed,356,33005.23,12,15.93,3188.62,1.5,0,6,0,web,capital,1
C000051,2023-01-06,59,M,married,3,3606.124564879101,contract,52,24632.19,12,13.56,2331.0,1.211,0,8,0,partner,south,1
C000052,2023-09-03,20,M,single,0,1523.0049738857058,self_employed,228,11652.71,24,15.19,633.04,0.832,5,0,1,partner,capital,1
C000053,2023-02-26,32,F,single,3,2524.595829682191,permanent,65,14724.63,24,18.07,835.25,0.76,6,1,0,call_center,south,1
C000054,2024-07-07,27,F,divorced,2,1007.8778907922542,contract,3,27753.61,24,11.67,1426.3,1.5,10,7,0,web,south,1
C000055,2023-06-03,22,M,married,2,2673.4134279121326,contract,44,20868.9,24,13.74,1108.42,0.971,1,8,0,branch,capital,1
C000056,2023-10-21,35,M,married,3,4782.592807382029,self_employed,193,34946.47,36,21.88,1607.95,0.961,10,2,0,branch,north,1
C000057,2022-06-06,45,M,married,0,2021.4222363727272,self_employed,72,41496.29,60,15.62,1231.86,1.5,5,1,0,web,capital,1
C000058,2023-10-21,70,M,married,3,3027.137143958476,permanent,339,38290.41,60,20.11,1279.89,0.94,8,0,0,partner,capital,1
C000059,2022-05-22,63,F,single,4,2442.087915461377,permanent,150,17130.88,48,21.27,660.57,0.551,0,5,0,web,north,1
C000060,2024-11-24,58,F,married,3,1125.7110554217895,permanent,83,32484.85,48,26.54,1395.34,1.5,2,5,0,partner,east,0
C000061,2023-12-09,54,M,married,1,3056.078643881956,contract,21,27093.5,36,28.41,1393.93,0.874,2,8,0,branch,north,0
C000062,2023-12-10,49,F,single,0,1846.6440599118582,contract,45,35827.32,36,15.44,1456.28,1.5,5,7,1,partner,capital,1
C000063,2024-06-23,18,F,single,0,1255.9981533855123,unemployed,5,40370.0,36,23.08,1897.91,1.5,9,6,0,partner,south,1
C000064,2024-12-17,18,F,married,0,3096.469136521802,self_employed,132,31471.73,24,16.8,1751.86,1.5,4,2,1,call_center,capital,1
C000065,2024-11-13,21,F,single,2,3968.329788137821,self_employed,167,53396.45,36,20.45,2393.24,1.046,1,1,1,web,capital,1
C000066,2022-04-27,63,F,divorced,0,1225.8776480268143,permanent,279,40624.61,36,19.07,1773.98,1.5,0,0,0,partner,capital,1
C000067,2023-05-08,43,F,married,4,1382.3882069505169,self_employed,17,19524.48,48,19.56,725.04,0.689,2,0,0,web,west,1
C000068,2024-03-10,67,M,single,1,1751.9784141679813,permanent,11,27654.39,36,9.86,995.31,1.34,0,3,1,branch,east,1
C000069,2023-03-27,50,M,single,3,2962.944469780464,self_employed,265,24253.66,36,16.39,1005.03,0.721,0,2,0,web,north,1
C000070,2024-08-20,72,M,single,2,4427.32544622722,permanent,7,36804.88,48,34.54,1826.19,0.831,7,8,0,web,west,0
C000071,2023-03-07,20,M,married,4,3627.0868917917837,contract,46,25557.67,36,24.67,1235.35,0.617,4,0,0,branch,west,0
C000072,2022-05-23,40,F,married,2,2301.297208835799,contract,15,25571.64,36,24.56,1233.75,1.287,10,6,0,branch,south,1
C000073,2022-09-07,28,F,divorced,5,2468.367724197612,permanent,18,25412.53,48,19.5,942.43,0.947,1,3,0,branch,south,1
C000074,2024-08-20,23,F,single,3,2653.712475930134,unemployed,5,49798.46,36,15.66,2032.98,1.5,10,0,0,branch,capital,1
C000075,2024-12-06,58,M,married,2,3625.3663352321887,permanent,253,40853.72,48,15.86,1391.05,0.821,1,7,1,partner,north,1
